Title,Matched Title,Author(s),Series,Publisher,Publish Year,ISBN,OL Work Key,GB Matched Title,GB Series,GB Series #,GB Summary
The Qualinesti,The Qualinesti (Dragonlance,Paul B. Thompson,,,2004,,https://openlibrary.org/works/OL14935373W,The Qualinesti,,,"When Kith-Kanan of Qualinost, a society of renegade elves, is appointed Speaker of the Suns, his triumph is marred by memories of past failures, his unfaithful wife, and the strange behavior of his successor, his son"
Dark Heart,Heart of Darkness,Joseph Conrad,,,1899,,https://openlibrary.org/works/OL38663W,,,,
The Reign of Istar,The Reign of Istar,Richard A. Knaak,,,1992,,https://openlibrary.org/works/OL15075786W,,,,
The Oath and the Measure,The Oath and the Measure,Michael Williams,,,1992,,https://openlibrary.org/works/OL4652762W,The Oath and the Measure,,,"Now acquainted with the twins, Caramon and Raistin, who are living in Solace with him, Sturm becomes uniquely flawed in his obsession with high principles. Original."
The Cataclysm,The Cataclysm,Douglas Niles,,,1992,,https://openlibrary.org/works/OL15013717W,,,,
Steel and Stone,Steel and stone,Ellen Porath,,,1992,,https://openlibrary.org/works/OL16007439W,Steel and Stone,,,"New York Times–bestselling series: It’s hate a first sight for Kit and Tanis in this Meetings Sextet novel about their complicated enemies-to-lovers relationship The tempestuous affair between Kitiara Uth Matar and Tanis Half-Elven begins with the sword. Life isn't simple for the hotheaded pair. They must contend with a carnivorous, two-headed troll; a deposed leader who believes Kitiara is the cause of the ruler's troubles; a vindictive mage who seeks peculiar vengeance; and Kit's hulking former lover. They also meet a beautiful magic-user hiding a painful secret, and a giant owl with a sardonic sense of humor. Here is the long-awaited story of the meeting of Tanis and Kitiara, a tale of love, lust, betrayal, and revenge that takes the reader through Krynn and south to the glacial Icereach."
The War of the Lance,War of the Lance,"Margaret Weis, Tracy Hickman, Jamie Chambers, Roger E. Moore, Nancy V. Berberick, Michael Williams, Richard A. Knaak",,,1992,,https://openlibrary.org/works/OL15108291W,Dragonlance War Of The Lance,,,Fantasirollespil.
The Companions,The students' companion,Wilfred D. Best,,,1963,,https://openlibrary.org/works/OL15845364W,,,,
The Covenant of the Forge,The Covenant of the Forge,Dan Parkinson,,,1993,,https://openlibrary.org/works/OL4323279W,The Covenant of the Forge,,,"The long-awaited historical saga of the rivalrous dwarven clans of Krynn and the birth of the legendary Thorbardin—told here for the very first time An old dwarven chieftain, Colin Stonetooth, leads a tribe of Hylar in a migration across Ansalon, pursuing a vision of a new home. Hordes of dangerous outsiders, fleeing the Dragon Wars, sweep across the countryside. Evil magic, strange knights, and precocious kender abound, endandering Stonetooth and his followers during their journey. In the Kharolis Mountains, in Kal Thax, the Hylar come upon squabbling dwarven clans and knit them into the new nation of Thorbardin. But a Theiwar assassin precipitates a civil war, a curse is fulfilled—and a child is born destined to become the Father of Kings."
Before the Mask,Before the mask,Michael Williams,,,1993,,https://openlibrary.org/works/OL4652712W,Before the Mask,,,"Chronicles the life of the evil Verminaard, from his humble beginnings to his career as a despised ruler. By the authors of The Oath and the Measure. Original. 150,000 first printing."
Hammer and Axe,Hammer and axe,Dan Parkinson,,,1993,,https://openlibrary.org/works/OL4323260W,Hammer and Axe,,,"When the humans of Ergoth threaten Thorbardin, the kingdom’s dwarven clans are drawn into the territory wars between humans and elves The humans of Ergoth continue to encroach upon Thorbardin, but the worst threat to the dwarven fortress comes from a mysterious fog-beast and a covetous wizard. A Cobar, a kender, and a giant raptor add to the confusion as the dwarves are faced with wizards who command not only the forces of magic but thousands of mercenaries as well. And, unknown to the dwarves who valiantly fight the invaders, the beast has already claimed Thorbardin as its own. With Hammer and Axe, the author of The Covenant of the Forge continues the sweeping historical saga of the fractious dwarven races who inhabit the world of Krynn in the popular Dragonlance books."
The Black Wing,The Black wing,Mary Kirchoff,,,1993,,https://openlibrary.org/works/OL7970898W,The Black Wing,,,"One score and six years before confronting the Companions in Xar Tsaroth, the black dragon Khisanth is awakened from a centuries long sleep. The world she had known as a young wyrn is gone, irrevocably changed by the Cataclysm. Now fully grown, she has much to learn about being a dragon in a world where her kind are feared as the villains in stories told to children."
Emperor of Ansalon,Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found,,,,
The Swordsheath Scroll,The swordsheath scroll,Dan Parkinson,,,1993,,https://openlibrary.org/works/OL4323285W,The Swordsheath Scroll,,,"The final volume in the Dwarven Nations trilogy reveals the origin story of Derkin, King of Living Stone—the legendary dwarven leader Despite the stubborn courage of dwarven warriors, the protracted Wilderness War ends as a no-win. The Swordsheath Scroll is signed, and Thorbardin shows its support of the open-minded Qualinesti elves by joining in the construction of Pax Tharkas, a magnificent fortress and a symbol of peace. Meanwhile, the Mountain Dwarves await the coming of a king who will restore them to their former glory. When a new leader emerges from their midst, it seems the prophecy has been fulfilled and a victory over the Ergothians is no longer a futile hope. He is Derkin, the King of Living Stone—a hero whose bravery and wisdom will be written in the dwarven annals and whose name will become the “throne name” of all future dwarven kings."
Hederick the Theocrat,Hederick the Theocrat,Ellen Dodg Severson,,,,,https://openlibrary.org/works/OL8860382W,,,,
The Second Generation,The Second Generation,"Margaret Weis, Tracy Hickman",,,1989,,https://openlibrary.org/works/OL73431W,The Second Generation,,,"Years have passed since the end of the War of the Lance. The people of Ansalon have rebuilt their lives, their houses, their families. The Companions of the Lance, too, have returned to their homes, raising children and putting the days of their heroic deeds behind them. But peace on Krynn comes at a price. The forces of darkness are ever vigilant, searching for ways to erode the balance of power and take control. When subtle changes begin to permeate the fragile peace, new lives are drawn into the web of fate woven around all the races. The time has come to pass the sword -- or the staff -- to the children of the Lance. They are the Second Generation."
The Dragons of Krynn,The Dragons of Krynn,Margaret Weis,,,1994,,https://openlibrary.org/works/OL15108456W,Margaret Weis' Testament of the Dragon,,,"ndrous tale of dragons, sorcery, and the human spirit in this uniquely magical, fully illustrated fantasy triumph. Full color."
Night of the Eye,Night of the eye,Mary Kirchoff,,,1994,,https://openlibrary.org/works/OL7970908W,Night of the Eye,,,"The first book in an exciting Dragonlance trilogy that explores the many secrets of sorcery in the world of Krynn It will soon be the Night of the Eye, a rare time when all three moons align in high sanction over the lands of Krynn. On the eve of Guerrand DiThon's political marriage to a rival family, the young noble is visited by a strange, powerful mage who knows more about him than he does himself. Seduced by promises of wizardly might, Guerrand slips away beneath the triple moons and journeys for the Tower of Wayreth. No one thinks he will survive the deadly trek to the tower, but he does. It's only then that Guerrand realizes that he has made many enemies in his journey. One of these foes would not only see Guerrand dead, but the three orders of sorcery destroyed with him."
Lord Toede,Lord Toede,Jeff Grubb,,,1994,,https://openlibrary.org/works/OL5059148W,Lord Toede,,,
The Medusa Plague,The Medusa plague,Mary Kirchoff,,,1994,,https://openlibrary.org/works/OL7970906W,The Medusa Plague,,,"With the onslaught of a vicious plague, the fate of a Thonvil town rests in the hands of the man its villagers have scorned: Guerrand DiThon The name Guerrand DiThon has been cursed by his family since the day he disappeared. When a mysterious plague strikes their beleaguered village, Guerrand's name is invoked again—as the cause of the disaster. Bram DiThon, Guerrand's nephew, is more like his uncle than the family would care to admit. A skilled herbalist, Bram has unknowingly turned his skills toward magic. It is to Bram the villagers turn when the plague changes their eyes to onyx, their limbs to snakes, and their flesh to stone. Unable to stop the unexplainable deaths, Bram sets out to find his missing uncle. He learns that Guerrand is the High Defender of Bastion, the last stronghold before the Lost Citadel. But in finding him, Bram has unwittingly given an evil mage—once Guerrand's friend, now his archenemy—the key to destroy the three orders of sorcery."
The Dark Queen,The dark queen,Michael Williams,,,1994,,https://openlibrary.org/works/OL4652723W,The Dark Queen,,,
The Kagonesti,The Kagonesti,Douglas Niles,,,1995,,https://openlibrary.org/works/OL1635433W,The Kagonesti,,,"Fantasy. The Wild Elves, a peaceful tribe in the midst of the other hostile races of Krynn, find their harmonious lifestyle threatened by the turbulent War of the Lance, and must overcome the tyrannical forces that would enslave them."
Knights of the Crown,Knights of the crown,Roland Green,,,1995,,https://openlibrary.org/works/OL18167640W,Knights of the Crown,,,"The Knights of Solamnia were the greatest order of chivalry in the history of Krynn. All those who wish to become Solamnic Knights must first enter as squires of the Knights of the Crown, with whom they begin their training in the virtue of loyalty. This is the story of Sir Pirvan the Wayward, whose reluctant and inauspicious beginnings as Pirvan the Spell Thief bore few clues to his potential as a Knight of the Crown. Roland J. Green is the author of the Starcruiser Shennandoa and Wandor series and numerous Conan novels, and is coauthor (with Jerry Pournelle) of the Jannisaries series. The Warriors series details the exploits of the heroes and villains of the War of the Lance."
The Irda,The Irda,Linda P. Baker,,,1995,,https://openlibrary.org/works/OL15892953W,The Irda,,,"The Lost Histories Series - Volume II-In the Beginning.....given life by gods, the Ogres were the most intelligent & beautiful of the early races of Krynn, & they reigned supreme in their perfect kingdom...."
The Seventh Sentinel,The Seventh Sentinel,Mary Kirchoff,,,1995,,https://openlibrary.org/works/OL7970913W,The Seventh Sentinel,,,"In this epic series closer, Guerrand DiThon and his nephew are all that stands between an old foe and the destruction of Krynnian magic A wizard sacrificed himself to preserve the secrets of magic. Centuries later, the survival of magic is again in question. The key is a young lord whose heritage is tied to the tuatha dundarael, faerie folk who practice powerful earth magic. These secrets are the weapons that Guerrand and Bram DiThon will wield in defending their Art against an old, scarred enemy. For Lyim, Guerrand's former friend and now renegade wizard, seeks to destroy the magic that he believes has forsaken him. The final battle will rage across the universe."
The Dargonesti,"The Dargonesti (Dragonlance Lost Histories, Vol. 3)","Paul B. Thompson, Thompson, Paul B.",,,1995,,https://openlibrary.org/works/OL14935355W,The Dargonesti,,,"Kana, the granddaughter of the elf leader Kith Kanan, and her gnone companion, Quix, are captured by the Dargonesti, a warlike, sea-dwelling elf race led by Coryphene, an extraordinary leader who falls in love with the beautiful elf maiden. Original. 75,000 first printing."
Knights of the Sword,Knights of the sword,Roland J. Green,,,1995,,https://openlibrary.org/works/OL23536600W,,,,
Dragons of Summer Flame,Dragons of Summer Flame,"Margaret Weis, Tracy Hickman",,,1995,,https://openlibrary.org/works/OL73411W,Dragons of Summer Flame,,,"Primed for a battle between good and evil, Raistlin, the corrupted mage, returns to the Dragonlance series along with a new generation of characters, the inheritors of the fabled Heroes of the Lance. 175,000 first printing."
Land of the Minotaurs,Land of the Minotaurs,Richard A. Knaak,,,1996,,https://openlibrary.org/works/OL2992968W,Land of the Minotaurs,,,"The fourth volume in the Lost Histories series introduces readers to one of Krynn's most enduring and formidable races—the minotaurs Of all the peoples of Krynn, one race has remained strong in its pride and beliefs. The powerful minotaurs envision themselves as the children of destiny, the future masters of the world. Despite adversity, defeat, and enslavement, that belief has never wavered. If there is a foe capable of destroying the minotaurs, it is their own arrogance. As clan clashes against clan, the exiled champion Kaz must discover the terrible secret of the empire before he and his entire race suffer the disastrous consequences and implement their own demise."
The Dragons at War,The dragons at war,Margaret Weis,,,1996,,https://openlibrary.org/works/OL22631305W,The Dragons at War,,,"A companion volume to The Dragons of Krynn presents a new collection of short fantasy fiction by such notable authors as Margaret Weis, Douglas Niles, and Tracy Hickman. Original."
The Gully Dwarves,"The Gully Dwarves (Dragonlance Lost Histories, Vol. 5)",Dan Parkinson,,,1996,,https://openlibrary.org/works/OL4323257W,The Gully Dwarves,,,"From one of the most reviled races on Krynn emerges a dwarven hero whose destiny lies on the battlefields of the War of the Lance When the god Reorx recites a mystical prophecy to Verden Leafglow—a reformed green dragon rejected by Takhisis, the queen of villainy—there is no disobeying him. But though Verden is given specific instructions, he is still left to wonder: Who is the new hero Reorx speaks of? Determined to uncover the truth of the prophecy, Verden sets out on a quest for answers. He finds them in Bron, son of the leader of the gully dwarf tribe of Bulp. With the dragon’s encouragement, Bron must prove his mettle as the first Aghar hero when the gully dwarves are caught up in the struggles that follow the War of the Lance."
Murder in Tarsis,Murder in Tarsis,John Maddox Roberts,,,1996,,https://openlibrary.org/works/OL743168W,,,,
Knights of the Rose,Knights of the rose,Roland Green,,,1996,,https://openlibrary.org/works/OL23574627W,Knights of the Rose,,,"The Knights of Solamnia were the greatest order of chivalry in the history of Krynn. After a knight has achieved the Order of the Crown and the Order of the Sword, he must then begin his training in the virtues of wisdom and justice in order to achieve the Order of the Rose, the highest of all orders. This is the third tale of Sir Pirvan the Wayward, whose reluctant and inauspicious beginnings bore few clues to his potential as a knight of the highest order. In a time when others of Solamnia had become corrupt and self-serving, Sir Pirvan maintained the dignity of the Order, walking the fine line between personal codes of honor and loyalty, and diplomacy and duty. Roland J. Green is the author of the Starcruiser Shenandoah and Wandor series and numerous Conan novels, and is coauthor (with Jerr Pournelle) of the Jannisaries series. The Warriors series details the exploits of the heroes and villains of the War of the Lance."
The Dawning of a New Age,The dawning of a new age,Jean Rabe,,,2002,,https://openlibrary.org/works/OL523393W,The Dawning of a New Age,,,"The survivors of the Chaos War usher in the Age of Mortals, trying to return peace and order to the war-torn land. But at what cost? Old conflicts and ambitions rear threaten the newfound peace. Unbeknownst to the masses, a new threat is looming. The shadow of a dragon is about to pass over Krynn, and none of the survivors' lives will remain unchanged. This first novel of the Fifth Age of Krynn series ties in with the new Dragonlance game line."
The Dragons,The Book of Dragons,Edith Nesbit,,,1973,,https://openlibrary.org/works/OL99529W,,,,
The Doom Brigade,The Doom Brigade,Margaret Weis,,,1996,,https://openlibrary.org/works/OL15108272W,The Doom Brigade,,,"War can get a fellow killed. The fearless draconians of the War of the Lance have retired from the field of battle to a pleasant valley in the Kharolis Mountains. Well, it would be pleasant, if it weren't for some dwarves, whose irritating feuding prevents the draconians from realizing their greatest hope -- the ability to continue their doomed race. When the dwarves discover a map leading to a fortune buried in the dwarven kingdom of Thorbardin, the draconians are swept up in a feverish race for treasure. Little do both sides realize that they are part of the strange and terrible destiny descending upon Krynn during the Summer of Flame. A desinty that includes the children of Chaos . . . the fire dragons! The Doom Brigade is the first installment in The Chaos War series, stories set during the war of the Dragons of Summer Flame, the New York Times best-selling novel co-authored by Margaret Weis."
The Dragons of Chaos,The Dragons of Chaos,Margaret Weis,,,1997,,https://openlibrary.org/works/OL15108275W,Mistress of Dragons,,,"The first volume in an epic trilogy, Mistress of Dragonsis the solo fantasy debut of bestselling author Margaret Weis. This exciting instalment takes place in a world where men and dragons coexist amid political intrigue and dark magic. Where the uneasy balance of power between men and dragons is on the verge of coming undone, threatening destruction that will pit humans against humans as well as humans against dragons. Humanity's very survival is at risk and the power to hold the chaos at bay rests in the hands of a new and inexperienced Mistress of Dragons."
Theros Ironfeld,Theros Ironfeld,Don Perrin,,,2000,,https://openlibrary.org/works/OL8166153W,Theros Ironfeld,,,"A young boy stood on the dock of his fishing village and watched the minotaur war barge approach. It would change his life from a lad who would have grown to follow in the footsteps of his father, to the greatest weaponsmith in the history of Krynn. As a boy, Theros Ironfeld was captured and pressed to service under the minotaurs. As a man, he first fought draconians to a standstill in Solace, and later, by mysterious means, acquired a silver arm. And when the evil dragons came to conquer, he was the only man who could forge the fabled dragonlances necessary to defeat them. The Warriors series details the exploits of the heroes and villains of the War of the Lance."
Lord Soth,Lord Soth,Edo Van Belkom,,,1996,,https://openlibrary.org/works/OL729837W,Lord Soth,,,The Warriors series details the exploits of the heroes and villains of the War of the Lance.
The Wayward Knights,Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found,,,,
Vinas Solamnus,Vinas Solamnus,J. Robert King,,,1997,,https://openlibrary.org/works/OL15288299W,Vinas Solamnus,,,Fantasy roman.
Fistandantilus Reborn,Fistandantilus Reborn,Douglas Niles,,,1997,,https://openlibrary.org/works/OL1635376W,Fistandantilus Reborn,,,"Explore two beloved Dungeons & Dragons campaign settings—Dragonlance and the Forgotten Realms—in this thrilling crossover novel by the author of Darkwalker on Moonshae Emilo Haversack is unusually worried for a kender—though he can't for the life of him remember what his problem is. Still, he's been wandering across Ansalon for quite some time, trying to remember what's wrong. All he can recall is the name of a very evil, very dead wizard: Fistandantilus. Joined by a young kendermaid, a human lad, and a devout, if somewhat naive priest, Emilo is drawn into a mysterious quest. As he draws closer to the secret of his past, he and his friends find themselves caught in an increasingly sinister web of intrigue. As the conclusion of the adventure approaches, the companions learn that their purpose is one that could catapult them from Krynn—and forever change the destiny of the world they leave behind. Fistandantilus Reborn is the second novel in the Lost Gods series and the second novel in …"
The Day of the Tempest,The day of the tempest,Jean Rabe,,,1997,,https://openlibrary.org/works/OL523428W,The Day of the Tempest,,,Fantasy.
